timestamp,cpu_percent,mem_pss_kb
2026-02-06 17:59:29,0.00,370944
2026-02-06 17:59:33,10.00,371128
2026-02-06 17:59:35,0.00,371128
2026-02-06 17:59:37,3.30,371384
2026-02-06 17:59:39,53.30,371384
2026-02-06 17:59:43,0.00,390532
2026-02-06 17:59:45,6.60,390532
2026-02-06 17:59:46,6.60,390788
2026-02-06 17:59:49,0.00,391032
2026-02-06 17:59:51,0.00,391372
2026-02-06 17:59:53,0.00,405324
2026-02-06 17:59:56,87.00,486644
2026-02-06 17:59:58,25.80,486488
2026-02-06 18:00:00,76.40,500736
2026-02-06 18:00:03,46.60,473804
2026-02-06 18:00:05,6.40,475264
2026-02-06 18:00:07,12.90,462016
2026-02-06 18:00:09,0.00,447120
2026-02-06 18:00:11,6.60,460216
2026-02-06 18:00:13,3.20,461776
2026-02-06 18:00:15,54.80,464272
2026-02-06 18:00:17,24.20,464788
2026-02-06 18:00:19,138.00,452420
2026-02-06 18:00:21,53.30,460924
2026-02-06 18:00:23,0.00,462980
2026-02-06 18:00:25,0.00,463408
2026-02-06 18:00:27,20.00,463632
2026-02-06 18:00:29,286.00,560576
2026-02-06 18:00:32,156.00,414648
2026-02-06 18:00:35,37.70,413936
2026-02-06 18:00:41,106.00,422196
2026-02-06 18:00:47,103.00,430100
2026-02-06 18:00:51,106.00,414356
2026-02-06 18:00:53,88.50,418108
2026-02-06 18:00:57,90.60,427288
2026-02-06 18:01:03,110.00,423840
2026-02-06 18:01:05,75.60,425016
2026-02-06 18:01:07,90.90,426700
2026-02-06 18:01:10,130.00,431600
2026-02-06 18:01:12,193.00,411080
2026-02-06 18:01:14,87.00,412700
2026-02-06 18:01:16,83.70,417596
2026-02-06 18:01:18,119.00,419292
2026-02-06 18:01:23,83.30,421328
2026-02-06 18:01:27,35.80,412480
2026-02-06 18:01:30,44.10,399896
2026-02-06 18:01:32,40.90,370772
2026-02-06 18:01:35,91.80,373832
2026-02-06 18:01:37,50.00,369316
2026-02-06 18:01:40,87.80,370804
2026-02-06 18:01:42,75.00,289916
2026-02-06 18:01:47,68.10,286092
2026-02-06 18:01:52,93.90,291980
2026-02-06 18:01:54,93.90,293916
2026-02-06 18:01:56,103.00,295340
